Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,volatilidad,rendimiento_ajustado,xP
Tino,Livramento,Newcastle,Defender,Brighton,False,51,5.6,1150,1.0980392156862746,0,2.751622897751175,0.3990514894259935,3.51
Josh,Cullen,Burnley,Midfielder,Leeds,True,50,5.4,1075,1.08,0,4.029651999626672,0.268013218039686,4.02
Enzo,Fernández,Chelsea,Midfielder,Nott'm Forest,False,67,7.2,1165,1.0746268656716418,0,4.375255094603872,0.2456146767298231,5.26
Bafodé,Diakité,Bournemouth,Defender,Crystal Palace,False,45,4.8,1140,1.0666666666666669,0,3.5923198500080566,0.2969297588198541,3.24
Chris,Richards,Crystal Palace,Defender,Bournemouth,True,45,4.8,1180,1.0666666666666669,0,2.0586634591635518,0.518135522306332,2.96
Joachim,Andersen,Fulham,Defender,Arsenal,True,45,4.8,1325,1.0666666666666669,0,2.672612419124244,0.3991101212558872,2.41
Moisés,Caicedo Corozo,Chelsea,Midfielder,Nott'm Forest,False,57,6.0,1165,1.0526315789473684,0,3.644957377763735,0.2887911900888075,4.96
Granit,Xhaka,Sunderland,Midfielder,Wolves,True,50,5.2,1125,1.04,0,2.070196678027062,0.5023677272012339,3.52
Sean,Longstaff,Leeds,Midfielder,Burnley,False,49,5.0,1050,1.020408163265306,0,5.033222956847166,0.2027345444487311,3.39
Maxence,Lacroix,Crystal Palace,Defender,Bournemouth,True,51,5.2,1180,1.019607843137255,0,3.2513733362117265,0.313592976783537,2.87
João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,Midfielder,Aston Villa,True,55,5.6,1250,1.018181818181818,0,4.111540089159037,0.2476400074187466,3.92
Gabriel,dos Santos Magalhães,Arsenal,Defender,Fulham,False,63,6.4,1125,1.015873015873016,1,3.9880774697543058,0.2547275030581593,4.65
Micky,van de Ven,Spurs,Defender,Aston Villa,True,48,4.8,1250,1.0,0,4.68533680244878,0.2134318283111157,3.75
El Hadji Malick,Diouf,West Ham,Defender,Brentford,True,44,4.4,1185,1.0,0,3.093772546815388,0.3232299675777271,3.23
Tyrick,Mitchell,Crystal Palace,Defender,Bournemouth,True,50,5.0,1180,1.0,0,3.1622776601683795,0.3162277660168379,2.96
Nick,Pope,Newcastle,Goalkeeper,Brighton,False,51,5.0,1150,0.9803921568627452,0,2.410295378065479,0.4067518719011174,3.19
Cristian,Romero,Spurs,Defender,Aston Villa,True,51,5.0,1250,0.9803921568627452,0,3.994043183589901,0.2454635845928824,3.75
Đorđe,Petrović,Bournemouth,Goalkeeper,Crystal Palace,False,45,4.4,1140,0.977777777777778,0,1.772810520855837,0.551541050932927,3.24
Anton,Stach,Leeds,Midfielder,Burnley,False,50,4.6,1050,0.92,0,5.089672082242814,0.1807582070384764,3.33
Jordan,Pickford,Everton,Goalkeeper,Man City,False,55,5.0,1275,0.9090909090909092,0,5.023753102820165,0.1809585165681363,2.91
João Pedro,Junqueira de Jesus,Chelsea,Forward,Nott'm Forest,False,77,7.0,1165,0.9090909090909092,0,5.061526214398936,0.1796080610043556,5.35
Guglielmo,Vicario,Spurs,Goalkeeper,Aston Villa,True,51,4.6,1250,0.9019607843137256,0,3.5118845842842465,0.2568309870859703,4.26
Dan,Burn,Newcastle,Defender,Brighton,False,51,4.6,1150,0.9019607843137256,1,3.97611918955202,0.2268445037270996,3.73
Hjalmar,Ekdal,Burnley,Defender,Leeds,True,40,3.6,1075,0.9,0,3.1471831698777724,0.2859700091860092,3.58
Lucas,Tolentino Coelho de Lima,West Ham,Midfielder,Brentford,True,59,5.2,1185,0.8813559322033898,0,3.804758924845367,0.2316456704912545,3.12
Martín,Zubimendi Ibáñez,Arsenal,Midfielder,Fulham,False,55,4.8,1125,0.8727272727272727,0,5.19156825558337,0.1681047478839716,3.48
Yankuba,Minteh,Brighton,Midfielder,Newcastle,True,60,5.2,1245,0.8666666666666667,1,2.5071326821120348,0.3456804152609018,3.67
Iliman,Ndiaye,Everton,Midfielder,Man City,False,65,5.6,1275,0.8615384615384615,0,2.4299715851758235,0.354546722601336,3.38
Trai,Hume,Sunderland,Defender,Wolves,True,45,3.8,1125,0.8444444444444444,0,2.3603873774083297,0.357756719310892,3.25
James,Tarkowski,Everton,Defender,Man City,False,55,4.6,1275,0.8363636363636363,0,2.63673679998231,0.3171964817911471,3.45
Antoine,Semenyo,Bournemouth,Midfielder,Crystal Palace,False,79,6.6,1140,0.8354430379746834,1,5.912053869204928,0.1413118108287867,4.7
Nick,Woltemade,Newcastle,Forward,Brighton,False,72,6.0,1150,0.8333333333333333,1,2.943920288775949,0.2830692585361489,3.26
Matty,Cash,Aston Villa,Defender,Spurs,False,46,3.8,1130,0.8260869565217391,0,3.670993118515816,0.2250309193866662,3.25
Daniel,Muñoz Mejía,Crystal Palace,Defender,Bournemouth,True,56,4.6,1180,0.8214285714285714,0,2.672612419124244,0.307350428199288,3.48
Virgil,van Dijk,Liverpool,Defender,Man Utd,True,61,5.0,1125,0.819672131147541,0,2.7945525240230875,0.2933106907461257,3.62
Sven,Botman,Newcastle,Defender,Brighton,False,49,4.0,1150,0.8163265306122448,0,3.5923198500080566,0.2272421623621332,3.23
Riccardo,Calafiori,Arsenal,Defender,Fulham,False,57,4.6,1125,0.8070175438596491,0,5.0990195135927845,0.1582691616904643,4.01
Jarrod,Bowen,West Ham,Forward,Brentford,True,77,6.2,1185,0.8051948051948052,0,3.741657386773941,0.2151973636177962,3.34
Martin,Dúbravka,Burnley,Goalkeeper,Leeds,True,40,3.2,1075,0.8,0,1.6761634196950517,0.4772804313707943,2.85
Ibrahima,Konaté,Liverpool,Defender,Man Utd,True,55,4.4,1125,0.8,0,3.2071349029490928,0.2494438257849294,3.52
Jordan,Henderson,Brentford,Midfielder,West Ham,False,50,4.0,1100,0.8,0,2.1157009420498154,0.3781252747493287,3.78
Quilindschy,Hartman,Burnley,Defender,Leeds,True,40,3.2,1075,0.8,0,1.8257418583505536,0.4381780460041329,3.19
Ismaïla,Sarr,Crystal Palace,Midfielder,Bournemouth,True,65,5.2,1180,0.8,1,4.220133150686577,0.1895674784265627,2.94
Alex,Iwobi,Fulham,Midfielder,Arsenal,True,65,5.2,1325,0.8,0,4.3094580368566735,0.1856381923569028,2.33
Igor Thiago,Nascimento Rodrigues,Brentford,Forward,West Ham,False,61,4.8,1100,0.7868852459016393,1,4.2370250120079485,0.1857164504980654,3.65
Wilson,Isidor,Sunderland,Forward,Wolves,True,56,4.4,1125,0.7857142857142858,0,3.366501646120693,0.2333919208445018,3.51
Dean,Henderson,Crystal Palace,Goalkeeper,Bournemouth,True,50,3.8,1180,0.76,0,2.410295378065479,0.3153140510977462,2.89
Yehor,Yarmoliuk,Brentford,Midfielder,West Ham,False,50,3.8,1100,0.76,0,1.9760470401187076,0.3846062287840802,3.51
Jérémy,Doku,Man City,Midfielder,Everton,True,66,5.0,1115,0.7575757575757576,0,4.099941927579439,0.1847771922035544,3.04
Tyrone,Mings,Aston Villa,Defender,Spurs,False,45,3.4,1130,0.7555555555555555,0,3.251373336211726,0.2323804366421594,2.71
Caoimhín,Kelleher,Brentford,Goalkeeper,West Ham,False,45,3.4,1100,0.7555555555555555,0,2.6457513110645907,0.2855731573847494,2.96
Jack,Grealish,Everton,Midfielder,Man City,False,69,5.2,1275,0.7536231884057971,0,4.750939756661683,0.1586261301985738,2.85
Idrissa Gana,Gueye,Everton,Midfielder,Man City,False,54,4.0,1275,0.7407407407407407,0,2.9358214555806383,0.252311236207053,2.88
Dominik,Szoboszlai,Liverpool,Midfielder,Man Utd,True,65,4.8,1125,0.7384615384615384,0,4.259443290250164,0.1733704355571236,3.48
Santiago,Ignacio Bueno,Wolves,Defender,Sunderland,False,44,3.2,1050,0.7272727272727273,0,4.353433237386437,0.1670572827503247,2.9
Marcus,Tavernier,Bournemouth,Midfielder,Crystal Palace,False,55,4.0,1140,0.7272727272727273,0,3.28778402720188,0.221204532066446,3.25
Lyle,Foster,Burnley,Forward,Leeds,True,50,3.6,1075,0.72,0,2.0816659994661326,0.3458768122189882,3.25
Alex,Scott,Bournemouth,Midfielder,Crystal Palace,False,50,3.6,1140,0.72,0,2.6367367999823097,0.273064797368031,2.88
Kiernan,Dewsbury-Hall,Everton,Midfielder,Man City,False,50,3.6,1275,0.72,0,4.099941927579439,0.1756122434702581,2.51
Michael,Kayode,Brentford,Defender,West Ham,False,45,3.2,1100,0.7111111111111111,0,3.251373336211726,0.2187109991926206,2.98
Calvin,Bassey,Fulham,Defender,Arsenal,True,45,3.2,1325,0.7111111111111111,0,3.101458950082625,0.2292827738674944,2.21
Declan,Rice,Arsenal,Midfielder,Fulham,False,65,4.6,1125,0.7076923076923076,0,3.450327796711771,0.2051087170229889,4.0
Enzo,Le Fée,Sunderland,Midfielder,Wolves,True,49,3.4,1125,0.693877551020408,0,3.7161167647860327,0.1867211379350617,2.7
Alisson,Becker,Liverpool,Goalkeeper,Man Utd,True,55,3.8,1125,0.6909090909090909,0,2.9680841985233184,0.2327794781741138,3.23
Pape Matar,Sarr,Spurs,Midfielder,Aston Villa,True,50,3.4,1250,0.6799999999999999,0,2.819996622760558,0.2411350405570105,3.13
Erling,Haaland,Man City,Forward,Everton,True,145,9.8,1115,0.6758620689655173,1,4.546060565661952,0.148669833849234,7.31
Lucas,Bergvall,Spurs,Midfielder,Aston Villa,True,54,3.6,1250,0.6666666666666666,0,3.785938897200183,0.1760901812651247,3.41
Djed,Spence,Spurs,Defender,Aston Villa,True,45,3.0,1250,0.6666666666666666,0,2.581988897471611,0.2581988897471611,3.14
Pascal,Struijk,Leeds,Defender,Burnley,False,45,3.0,1050,0.6666666666666666,0,2.819996622760558,0.2364069025068731,2.96
Sepp,van den Berg,Brentford,Defender,West Ham,False,45,3.0,1100,0.6666666666666666,0,2.410295378065479,0.2765912728927598,3.04
Nathan,Collins,Brentford,Defender,West Ham,False,49,3.2,1100,0.6530612244897959,-1,3.101458950082625,0.210565812735454,2.98
Lamare,Bogarde,Aston Villa,Defender,Spurs,False,40,2.6,1130,0.65,0,3.132015933791495,0.2075340655157956,2.44
Gabriel,Gudmundsson,Leeds,Defender,Burnley,False,40,2.6,1050,0.65,0,4.191828786034631,0.1550635851744518,2.46
Maxime,Estève,Burnley,Defender,Leeds,True,40,2.6,1075,0.65,0,2.672612419124244,0.2432077301403062,2.75
Emiliano,Buendía Stati,Aston Villa,Midfielder,Spurs,False,53,3.4,1130,0.6415094339622641,0,4.27617987059879,0.1500192820168797,2.7
Jake,O'Brien,Everton,Defender,Man City,False,50,3.2,1275,0.64,0,2.288688541085317,0.2796361272016969,2.11
Daichi,Kamada,Crystal Palace,Midfielder,Bournemouth,True,50,3.2,1180,0.64,0,2.340126166724879,0.2734895276589771,2.28
Harry,Maguire,Man Utd,Defender,Liverpool,False,44,2.8,1335,0.6363636363636362,0,3.860668582611295,0.1648324953946733,2.45
Dango,Ouattara,Brentford,Midfielder,West Ham,False,60,3.8,1100,0.6333333333333333,0,4.6084807950229365,0.1374277905242265,3.51
David,Raya Martín,Arsenal,Goalkeeper,Fulham,False,57,3.6,1125,0.631578947368421,1,3.0237157840738176,0.2088751035050992,2.94
Sandro,Tonali,Newcastle,Midfielder,Brighton,False,54,3.4,1150,0.6296296296296295,0,1.2535663410560176,0.5022706888406264,2.58
Jayden,Bogle,Leeds,Defender,Burnley,False,45,2.8,1050,0.6222222222222222,0,2.4299715851758235,0.2560615218787427,2.88
Lucas,Digne,Aston Villa,Defender,Spurs,False,45,2.8,1130,0.6222222222222222,0,2.23606797749979,0.2782662371999738,2.72
Tijjani,Reijnders,Man City,Midfielder,Everton,True,58,3.6,1115,0.6206896551724138,0,3.5050983275386565,0.1770819523936931,2.51
Yasin,Ayari,Brighton,Midfielder,Newcastle,True,49,3.0,1245,0.6122448979591836,0,2.340126166724879,0.2616290124288684,3.14
Nico,O'Reilly,Man City,Defender,Everton,True,49,3.0,1115,0.6122448979591836,0,2.734262327610589,0.2239159321974094,2.59
Pedro,Porro Sauceda,Spurs,Defender,Aston Villa,True,56,3.4,1250,0.6071428571428572,0,2.4299715851758235,0.2498559492821915,3.13
Saša,Lukić,Fulham,Midfielder,Arsenal,True,50,3.0,1325,0.6,0,1.902379462422684,0.315394489822708,2.34
Bernd,Leno,Fulham,Goalkeeper,Arsenal,True,50,3.0,1325,0.6,0,2.410295378065479,0.2489321456034838,2.32
Keane,Lewis-Potter,Brentford,Defender,West Ham,False,50,3.0,1100,0.6,0,2.563479777846623,0.2340568492816481,3.04
Kieran,Trippier,Newcastle,Defender,Brighton,False,50,3.0,1150,0.6,0,3.38765264987284,0.1771137899933518,2.59
Brajan,Gruda,Brighton,Midfielder,Newcastle,True,54,3.2,1245,0.5925925925925926,0,2.563479777846623,0.2311672585497759,3.01
Konstantinos,Mavropanos,West Ham,Defender,Brentford,True,44,2.6,1185,0.5909090909090908,0,2.138089935299395,0.2763724206139842,2.45
Mikkel,Damsgaard,Brentford,Midfielder,West Ham,False,58,3.4,1100,0.5862068965517241,0,2.870208222079931,0.2042384563050698,2.97
Neco,Williams,Nott'm Forest,Defender,Chelsea,True,48,2.8,1245,0.5833333333333334,-1,3.532165125838609,0.1651489419523777,3.14
Dominic,Calvert-Lewin,Leeds,Forward,Burnley,False,55,3.2,1050,0.5818181818181819,0,4.0,0.1454545454545454,2.76
Emmanuel,Agbadou,Wolves,Defender,Sunderland,False,45,2.6,1050,0.5777777777777778,0,1.632993161855452,0.3538151850686813,2.46
Kenny,Tete,Fulham,Defender,Arsenal,True,45,2.6,1325,0.5777777777777778,0,2.0354009783964297,0.2838643510100768,2.54
Matheus,Nunes,Man City,Defender,Everton,True,53,3.0,1115,0.5660377358490566,0,4.320493798938574,0.1310122782697006,2.59
Mitoma,Kaoru,Brighton,Midfielder,Newcastle,True,64,3.6,1245,0.5625,0,2.340126166724879,0.2403716551690229,3.41
Matthijs,de Ligt,Man Utd,Defender,Liverpool,False,50,2.8,1335,0.5599999999999999,0,2.811540841738193,0.1991790379448261,2.45
Emiliano,Martínez Romero,Aston Villa,Goalkeeper,Spurs,False,50,2.8,1130,0.5599999999999999,0,2.1157009420498154,0.26468769232453,2.7
Ladislav,Krejcí,Wolves,Defender,Sunderland,False,45,2.5,1050,0.5555555555555556,0,2.701851217221259,0.2056203361660014,2.46
John,McGinn,Aston Villa,Midfielder,Spurs,False,54,3.0,1130,0.5555555555555555,0,1.4142135623730951,0.392837100659193,2.7
Fabian,Schär,Newcastle,Defender,Brighton,False,54,3.0,1150,0.5555555555555555,0,3.860668582611295,0.1439013848683656,2.59
Elliot,Anderson,Nott'm Forest,Midfielder,Chelsea,True,54,3.0,1245,0.5555555555555555,0,1.6761634196950517,0.331444744007496,3.14
Maximilian,Kilman,West Ham,Defender,Brentford,True,44,2.4,1185,0.5454545454545454,0,2.1157009420498154,0.2578126873290877,2.32
Francisco Evanilson,de Lima Barbosa,Bournemouth,Forward,Crystal Palace,False,70,3.8,1140,0.5428571428571428,0,2.4784787961282104,0.2190283587276092,3.17
Florentino Ibrain,Morris Luís,Burnley,Midfielder,Leeds,True,50,2.6666666666666665,1075,0.5333333333333333,0,1.4142135623730951,0.3771236166328253,2.5
Lewis,Dunk,Brighton,Defender,Newcastle,True,45,2.4,1245,0.5333333333333333,0,1.4638501094227998,0.364336027234119,2.46
Richarlison,de Andrade,Spurs,Forward,Aston Villa,True,68,3.6,1250,0.5294117647058824,0,4.649628761422531,0.1138610826520935,3.4
Gianluigi,Donnarumma,Man City,Goalkeeper,Everton,True,57,3.0,1115,0.5263157894736842,1,2.6299556396765835,0.2001234475340456,2.57
Chemsdine,Talbi,Sunderland,Midfielder,Wolves,True,50,2.6,1125,0.52,0,1.5735915849388864,0.3304542328371661,2.43
Adam,Wharton,Crystal Palace,Midfielder,Bournemouth,True,50,2.6,1180,0.52,0,2.214669705568283,0.2347979920854917,2.45
Ryan,Sessegnon,Fulham,Midfielder,Arsenal,True,54,2.8,1325,0.5185185185185185,0,2.9277002188456,0.1771077910165856,2.55
Bruno,Borges Fernandes,Man Utd,Midfielder,Liverpool,False,90,4.6,1335,0.5111111111111111,0,4.281744192888377,0.1193698381047668,2.84
Callum,Hudson-Odoi,Nott'm Forest,Midfielder,Chelsea,True,59,3.0,1245,0.5084745762711864,-1,3.3094381626464866,0.1536437761582377,3.14
Danny,Welbeck,Brighton,Forward,Newcastle,True,63,3.2,1245,0.507936507936508,0,3.779644730092272,0.1343873681810586,2.99
Mohammed,Kudus,Spurs,Midfielder,Aston Villa,True,67,3.4,1250,0.5074626865671642,0,4.117326918327103,0.1232505206978681,3.13
Cody,Gakpo,Liverpool,Midfielder,Man Utd,True,75,3.8,1125,0.5066666666666666,0,3.3022358947782493,0.1534313970324915,3.24
Viktor,Gyökeres,Arsenal,Forward,Fulham,False,91,4.6,1125,0.5054945054945055,1,4.029651999626672,0.1254437121471871,4.0
Maxim,De Cuyper,Brighton,Defender,Newcastle,True,44,2.2,1245,0.5,0,2.7688746209726918,0.1805787796286538,2.4
Tosin,Adarabioyo,Chelsea,Defender,Nott'm Forest,False,44,2.2,1165,0.5,0,2.9358214555806383,0.1703100844397608,2.29
Harry,Wilson,Fulham,Midfielder,Arsenal,True,53,2.6,1325,0.4905660377358491,0,3.055050463303893,0.1605754286642208,2.54
Sander,Berge,Fulham,Midfielder,Arsenal,True,49,2.4,1325,0.4897959183673468,-1,0.7559289460184544,0.6479390965872466,2.4
Ezri,Konsa Ngoyo,Aston Villa,Defender,Spurs,False,45,2.2,1130,0.4888888888888889,0,1.889822365046136,0.2586956837485377,2.04
Jacob,Murphy,Newcastle,Midfielder,Brighton,False,62,3.0,1150,0.4838709677419354,0,1.9880595947760096,0.2433885629049526,2.58
Hugo,Ekitiké,Liverpool,Forward,Man Utd,True,87,4.2,1125,0.4827586206896552,0,4.46147530585589,0.1082060501502748,3.51
Brenden,Aaronson,Leeds,Midfielder,Burnley,False,54,2.6,1050,0.4814814814814814,0,1.889822365046136,0.2547760521765901,2.4
David,Brooks,Bournemouth,Midfielder,Crystal Palace,False,50,2.4,1140,0.48,0,1.2724180205607034,0.3772345190368203,2.36
Tyler,Adams,Bournemouth,Midfielder,Crystal Palace,False,50,2.4,1140,0.48,0,1.1338934190276817,0.4233202097703344,2.36
Crysencio,Summerville,West Ham,Midfielder,Brentford,True,55,2.6,1185,0.4727272727272727,0,2.380476142847616,0.1985851755530632,2.45
Noah,Okafor,Leeds,Midfielder,Burnley,False,55,2.6,1050,0.4727272727272727,0,3.5637059362410923,0.1326504714993105,2.4
Bryan,Mbeumo,Man Utd,Midfielder,Liverpool,False,81,3.8,1335,0.4691358024691358,0,3.0783421635988546,0.1523988489702764,2.23
Kevin,Schade,Brentford,Midfielder,West Ham,False,70,3.2,1100,0.4571428571428572,0,2.370453040886408,0.1928504168856739,2.83
Kyle,Walker-Peters,West Ham,Defender,Brentford,True,44,2.0,1185,0.4545454545454545,0,1.9880595947760096,0.228637740910713,2.37
Jean-Philippe,Mateta,Crystal Palace,Forward,Bournemouth,True,75,3.4,1180,0.4533333333333333,0,1.8644544714716087,0.2431452954576673,2.33
Norberto Bercique,Gomes Betuncal,Everton,Forward,Man City,False,53,2.4,1275,0.4528301886792453,-1,2.2677868380553634,0.1996793442312898,2.05
James,Hill,Bournemouth,Defender,Crystal Palace,False,40,1.8,1140,0.45,0,2.288688541085317,0.1966191519386931,1.98
Loum,Tchaouna,Burnley,Midfielder,Leeds,True,49,2.2,1075,0.4489795918367347,0,0.8997354108424375,0.4990129169378223,2.1
Malick,Thiaw,Newcastle,Defender,Brighton,False,49,2.2,1150,0.4489795918367347,0,3.450327796711771,0.1301266483331296,2.13
Leny,Yoro,Man Utd,Defender,Liverpool,False,45,2.0,1335,0.4444444444444444,0,2.410295378065479,0.1843941819285065,2.33
Cristhian,Mosquera,Arsenal,Defender,Fulham,False,54,2.4,1125,0.4444444444444444,0,2.4299715851758235,0.1829010870562447,2.44
João Victor,Gomes da Silva,Wolves,Midfielder,Sunderland,False,54,2.4,1050,0.4444444444444444,0,1.1338934190276817,0.3919631571947541,2.4
Marshall,Munetsi,Wolves,Midfielder,Sunderland,False,54,2.4,1050,0.4444444444444444,0,1.9760470401187076,0.2249159232655439,2.4
Mikel,Merino Zazón,Arsenal,Midfielder,Fulham,False,59,2.6,1125,0.4406779661016949,0,2.0354009783964297,0.2165067083975161,2.43
Rúben,dos Santos Gato Alves Dias,Man City,Defender,Everton,True,55,2.4,1115,0.4363636363636363,0,3.132015933791495,0.1393235684581565,2.32
Dan,Ndoye,Nott'm Forest,Midfielder,Chelsea,True,60,2.6,1245,0.4333333333333333,0,3.2071349029490923,0.1351154056335034,2.89
Pedro,Lomba Neto,Chelsea,Midfielder,Nott'm Forest,False,70,3.0,1165,0.4285714285714285,0,1.9518001458970664,0.2195775164134199,3.02
Phil,Foden,Man City,Midfielder,Everton,True,81,3.4,1115,0.4197530864197531,0,4.220133150686576,0.0994644176929496,2.4
Joško,Gvardiol,Man City,Defender,Everton,True,58,2.4,1115,0.4137931034482758,0,4.429339411136565,0.0934209517581532,2.32
Milos,Kerkez,Liverpool,Defender,Man Utd,True,58,2.4,1125,0.4137931034482758,-1,2.2677868380553634,0.1824656076596269,2.44
Mateus Gonçalo,Espanha Fernandes,West Ham,Midfielder,Brentford,True,55,2.25,1185,0.4090909090909091,0,0.8944271909999159,0.4573775408522297,2.25
Jan Paul,van Hecke,Brighton,Defender,Newcastle,True,44,1.8,1245,0.409090909090909,0,3.579039509354962,0.1143018701027522,2.07
Kyle,Walker,Burnley,Defender,Leeds,True,44,1.8,1075,0.409090909090909,-1,2.225394561056747,0.1838284842830966,2.38
Hannibal,Mejbri,Burnley,Midfielder,Leeds,True,49,2.0,1075,0.4081632653061224,0,1.6035674514745464,0.2545345161070708,2.64
Matz,Sels,Nott'm Forest,Goalkeeper,Chelsea,True,49,2.0,1245,0.4081632653061224,0,0.6900655593423543,0.5914847651505892,2.64
Morgan,Rogers,Aston Villa,Midfielder,Spurs,False,69,2.8,1130,0.4057971014492753,0,1.3451854182690988,0.301666295172475,2.7
Noah,Sadiki,Sunderland,Midfielder,Wolves,True,50,2.0,1125,0.4,0,0.8164965809277261,0.4898979485566356,2.57
Reinildo,Mandava,Sunderland,Defender,Wolves,True,40,1.6,1125,0.4,0,3.1091263510296048,0.1286535041805354,1.8
Karl,Darlow,Leeds,Goalkeeper,Burnley,False,40,1.6,1050,0.4,0,1.3801311186847085,0.2898275349237887,1.86
Rodrigo,Martins Gomes,Wolves,Defender,Sunderland,False,45,1.8,1050,0.4,0,2.5727509827124,0.1554755989552817,2.09
Bruno,Guimarães Rodriguez Moura,Newcastle,Midfielder,Brighton,False,65,2.6,1150,0.4,0,4.644505202002531,0.0861232752689211,2.3
Marc,Cucurella Saseta,Chelsea,Defender,Nott'm Forest,False,61,2.4,1165,0.3934426229508196,0,3.4364987719368982,0.1144893826716153,2.48
Jhon,Arias,Wolves,Midfielder,Sunderland,False,52,2.0,1050,0.3846153846153846,0,1.5275252316519468,0.2517898733492219,2.54
Xavi,Simons,Spurs,Midfielder,Aston Villa,True,70,2.6666666666666665,1250,0.3809523809523809,-1,2.380476142847616,0.1600320096032011,2.75
Brennan,Johnson,Spurs,Midfielder,Aston Villa,True,69,2.6,1250,0.3768115942028985,0,3.670993118515816,0.1026456825272512,2.89
Hwang,Hee-chan,Wolves,Midfielder,Sunderland,False,59,2.2,1050,0.3728813559322034,0,2.340126166724879,0.1593424154792769,2.0
Abdukodir,Khusanov,Man City,Defender,Everton,True,54,2.0,1115,0.3703703703703703,0,2.8784916685156974,0.1286682099591946,2.46
André,Trindade da Costa Neto,Wolves,Midfielder,Sunderland,False,54,2.0,1050,0.3703703703703703,0,1.618347187425374,0.2288571780197498,2.54
Reece,James,Chelsea,Defender,Nott'm Forest,False,54,2.0,1165,0.3703703703703703,0,1.7043362064926937,0.2173106274216548,2.62
Estêvão,Almeida de Oliveira Gonçalves,Chelsea,Midfielder,Nott'm Forest,False,65,2.4,1165,0.3692307692307692,0,2.9113897843110044,0.1268228566372295,2.47
Ollie,Watkins,Aston Villa,Forward,Spurs,False,87,3.2,1130,0.367816091954023,0,2.2677868380553634,0.1621916512530017,2.64
Malo,Gusto,Chelsea,Defender,Nott'm Forest,False,49,1.8,1165,0.3673469387755101,0,2.410295378065479,0.1524074360837655,2.09
Ethan,Ampadu,Leeds,Midfielder,Burnley,False,49,1.8,1050,0.3673469387755101,0,1.772810520855837,0.207211619320812,2.03
Will,Hughes,Crystal Palace,Midfielder,Bournemouth,True,49,1.8,1180,0.3673469387755101,0,0.9759000729485332,0.3764185995658627,1.92
Robert,Lynch Sánchez,Chelsea,Goalkeeper,Nott'm Forest,False,49,1.8,1165,0.3673469387755101,0,3.545621041711674,0.103605809660406,2.07
Fábio,Freitas Gouveia Carvalho,Brentford,Midfielder,West Ham,False,49,1.8,1100,0.3673469387755101,0,2.4299715851758235,0.1511733474648553,2.11
Noussair,Mazraoui,Man Utd,Defender,Liverpool,False,49,1.8,1335,0.3673469387755101,0,2.563479777846623,0.1433001118050906,1.92
Mathias,Jensen,Brentford,Midfielder,West Ham,False,49,1.8,1100,0.3673469387755101,0,2.058663459163551,0.178439529365701,2.11
Bart,Verbruggen,Brighton,Goalkeeper,Newcastle,True,44,1.6,1245,0.3636363636363636,0,0.5345224838248488,0.6803013430498074,1.73
Hugo,Bueno López,Wolves,Defender,Sunderland,False,44,1.6,1050,0.3636363636363636,0,2.760262237369417,0.1317397886017221,1.92
William,Osula,Newcastle,Forward,Brighton,False,55,2.0,1150,0.3636363636363636,0,1.4960264830861911,0.2430681326484333,2.44
Altay,Bayındır,Man Utd,Goalkeeper,Liverpool,False,50,1.8,1335,0.36,0,0.7867957924694432,0.4575520146976146,1.9
